Name,MaxSupply
BTC,20999999.9769
ETH,-1
XRP,100000000000
USDT,-1
SOL,-1
BNB,100000000
DOGE,-1
ADA,45000000000
SUI,-1
USDC,-1
STETH,-1
CULT,-1
TON,-1
WLD,-1
LINK,-1
TRX,-1
AVAX,720000000
RYO,-1
XLM,-1
ONDO,-1
ENA,-1
UNI,-1
SHIB,-1
APT,-1
HBAR,50000000000
WBTC,-1
DOT,-1
JUP,-1
OP,-1
BCH,20999999.9769
ARB,-1
PEPE,-1
LTC,84000000
LEO,-1
WBT,400000000
EIGEN,-1
NEAR,-1
MANTLE,-1
TIA,-1
WEETH,-1
OM,-1
ICP,-1
ZRO,-1
STRK,10000000000
POL,-1
BGB,-1
MATIC,-1
AAVE,-1
USDE,-1
CRO,30000000000
SEI,10000000000
VET,86712634466
ETC,210700000
RNDR,536870912
FET,-1
PYTH,-1
TAO,21000000
FTM,3175000000
ENS,-1
ALGO,10000000000
FIL,2000000000
GT,-1
KAS,28704026601
ATOM,-1
VINCI,-1
RENDER,-1
STX,1818000000
IMX,-1
JTO,-1
GRASS,-1
W,10000000000
DAI,-1
ATH,-1
BONK,-1
IO,-1
XDC,-1
WBETH,-1
FLR,-1
GRT,-1
RAY,-1
CORE,2100000000
AERO,-1
WIF,-1
INJ,-1
ZK,21000000000
MORPHO,-1
ETHFI,-1
THETA,1000000000
RUNE,500000000
CRV,3030303030
HTX,-1
KMNO,-1
LDO,1000000000
JASMY,-1
EOS,2100000000
SAND,3000000000
FLOKI,-1
SUPER,-1
SAGA,-1
RONIN,-1
